Tree,Branch,Trial,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,measured diameter,W1 Diameter,W2 Diameter,Mean Diameter,Median Diameter,Contact,Distance from Tree,Time (s),Angle Correction,Angle Correction Direction,Notes
1,1,1,0.6671488920794886,-0.130351261501648,-1.154837433491842,-3.97971572498464,-1.2065499464618128,1.6824390888214111,0.85,1.0102918148040771,0.8829441070556641,0.9064544439315796,0.9720875024795532,N/a,N/a,48.4,0.0,CW,N/a
1,1,2,0.5556395689593714,-0.3259870570949097,-1.4245713392840784,-3.649393220941061,-0.3636687437640589,1.344571590423584,0.83,0.8831769227981567,0.8831769227981567,1.1579431295394897,1.2406532764434814,N/a,N/a,47.46,0.0,CW,N/a
1,1,3,1.7955339590655726,-1.5215463501266022,-1.4104765097247522,-3.6895905933775843,-1.0630090872394007,1.6812734603881836,0.79,0.7864344120025635,0.7708614468574524,0.8136870861053467,0.8214735388755798,N/a,N/a,44.17,0.0,CW,N/a
1,2,1,0.8327372709857386,-0.29113085687670903,-1.0820348898517054,-3.2583357296385707,-1.759057346974508,1.7792149782180786,0.225,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,
1,2,2,0.6153171698199671,-0.1811027091792603,-1.2674458662616175,-2.9989496670165003,-1.5941503683673304,1.7791987657546997,0.135,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,3,0.5164297262774866,-0.24284859121356206,-0.9750936667071741,-3.174840112725729,-1.6593831221209925,1.7790709733963013,0.609,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,4,0.20014936128725225,-0.028144912128784227,-0.9060223738299769,-3.1748677692809046,-1.6593268553363245,1.778985619544983,0.13,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,5,0.791274372731344,-0.6032414001277466,-0.7327879110919397,-3.113885065118307,-2.6512115637408655,1.659093976020813,0.398,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,6,1.5170953909503382,-0.8656830352595826,-0.7079909483539026,-3.113721033135885,-2.651780668889181,1.6591342687606812,0.16,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,7,0.9775989691363733,-0.4452875417521973,-0.9403513113604944,-4.388873477975363,-1.874094311391012,1.6590534448623657,0.355,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,8,1.0352843443499964,-0.4451652330211182,-0.8485038916217249,-4.46477546314382,-1.9599044958697718,1.6590616703033447,0.205,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,9,1.0348003546344202,-0.5513730806163331,-1.3662570158587855,-4.686953445474142,-0.9884441534625452,1.659096598625183,0.572,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,10,1.5070069471942347,-0.7677987378886719,-1.3592684904681605,-4.852155109445089,-0.6540525595294397,1.6590219736099243,0.48,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,11,1.506064240132467,-1.0611159366420289,-1.1434877554522913,-5.032239814797872,-0.6535752455340784,2.021153450012207,0.24,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,12,1.8568928877459925,-1.2855925124934693,-1.179462734852926,-3.929021259347433,-1.5623300711261194,-0.04792148271669561,0.231,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,13,1.998669449483053,-1.273479924803116,-1.175117317830221,-4.088759561578268,-1.9359434286700647,-0.047909084950582326,0.186,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
1,2,14,1.9987109343158167,-1.2734758418849488,-1.175040070210592,-4.088739057580465,-1.9359801451312464,-0.04787332216371709,0.186,0.2705608010292053,0.2705608010292053,0.33242684602737427,0.3266526758670807,N/a,N/a,187.59,0.0,CW,N/a
