Tree,Branch,Trial,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,measured diameter,W1 Diameter,W2 Diameter,Mean Diameter,Median Diameter,Contact,Distance from Tree,Time (s),Angle Correction,Angle Correction Direction,Notes
1,1,1,1.9312933127032679,-0.743829683666565,-2.089163128529684,-4.323421617547506,-1.1376631895648401,-0.2789509932147425,0.89,0.9693984389305115,0.9693984389305115,0.9844408631324768,0.9944691061973572,N/a,N/a,42.54,0.0,CW,Made contact below 
1,1,2,1.9350393454181116,-0.7505160135081788,-2.093520466481344,-4.317829748193258,-1.136080567036764,-0.26696712175478154,0.89,1.0173754692077637,0.9735230803489685,0.997885525226593,0.9910640120506287,N/a,N/a,40.24,0.0,CW,Same as before
1,1,3,1.9882085959063929,-0.7974589628032227,-2.1060174147235315,-4.322775026360983,-1.1223519484149378,-0.009331528340474904,0.89,0.9725381731987,0.9644337296485901,1.0203546285629272,1.0171128511428833,N/a,N/a,47.44,0.0,CW,Made contact this time
1,2,1,1.6351822058307093,-0.5747590822032471,-1.2394145170794886,-4.193900009194845,-1.989526096974508,0.2810652256011963,0.97,1.0879589319229126,0.9610303640365601,1.0347434282302856,1.0698262453079224,N/a,N/a,44.17,0.0,CW,
1,2,2,1.6468399206744593,-0.587235764866211,-1.2385390440570276,-4.191515108148092,-1.9901989142047327,0.04630398750305176,0.97,0.9667315483093262,0.9130242466926575,1.0768704414367676,0.9935852289199829,N/a,N/a,40.57,0.0,CW,Missed branch
1,2,3,1.6374157110797327,-0.5770798486522217,-1.2402785460101526,-4.193648477593893,-1.9888890425311487,0.0916604995727539,0.97,1.0574790239334106,1.0032492876052856,1.1321637630462646,1.0665172338485718,N/a,N/a,44.57,0.0,CW,
