Tree,Branch,Trial,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,measured diameter,W1 Diameter,W2 Diameter,Mean Diameter,Median Diameter,Contact,Distance from Tree,Time (s),Notes
1,1,1,-1.0751010179519653,-2.5536700687804164,-0.1607134977923792,0.4665838915058593,0.7492232322692871,1.4476783275604248,1.25,1.3061999082565308,1.278209924697876,1.3061999082565308,1.3061999082565308,right,8.5,50.01,N/a
1,1,2,-1.0677614212036133,-2.5588261089720667,-0.16027766862978154,0.4628116327473144,0.7538010478019714,1.4279978275299072,1.25,1.2761614322662354,1.2761614322662354,1.2856144905090332,1.2856144905090332,center,8.5,46.41,N/a
1,1,3,-1.068082571029663,-2.557866235772604,-0.15988141695131475,0.4632200437733154,0.7521490454673767,1.4579954147338867,1.25,1.3480790853500366,1.2820892333984375,1.5420085191726685,1.4376367330551147,center,8.5,46.21,N/a
1,1,4,-1.0717644691467285,-2.5568982563414515,-0.15965730348695928,0.4648057657429199,0.7532303333282471,1.4594199657440186,1.25,1.3937861919403076,1.2713589668273926,1.649506688117981,1.5538831949234009,center,8.5,46.41,N/a
1,1,5,-1.0622761249542236,-2.558134218255514,-0.15910512605776006,0.4601554113575439,0.749655544757843,1.4236669540405273,1.25,1.2796932458877563,1.204417109489441,1.0934839248657227,1.2326456308364868,center,8.5,46.81,N/a
1,2,1,-0.985176146030426,-2.5968548260130824,-0.16582280794252569,0.42146651327099605,0.757365345954895,1.2603346109390259,0.5,0.49033263325691223,0.46031224727630615,0.48866480588912964,0.4853292405605316,left,8.5,62.31,Had 1.25 dowel standing up in the background
1,2,2,-0.9882161021232605,-2.5974704227843226,-0.16699105898012334,0.4235232311436157,0.7610571980476379,1.4186214208602905,0.5,0.5534586906433105,0.45282983779907227,0.6371818780899048,0.5735844373703003,left,8.5,53.81,
1,2,3,-1.009841799736023,-2.5874935589232386,-0.171762768422262,0.43283407270397944,0.7611599564552307,1.4236435890197754,0.5,0.487642765045166,0.42793142795562744,0.47658511996269226,0.4677389860153198,center,8.5,57.56,"2 fails: one because no starts/ends in image, other because data collection bad, data weird on run"
1,2,4,-0.9840655326843262,-2.5973950825133265,-0.16819936433901006,0.42105059205975337,0.760718047618866,1.3591488599777222,0.5,0.5751743316650391,0.504538893699646,0.5625608563423157,0.5650835633277893,left,8.5,51.76,
1,2,5,-1.3084595203399658,-2.438458105126852,-0.09090835252870733,0.5804106432148437,0.6809206008911133,1.5729223489761353,0.5,0.5751743316650391,0.504538893699646,0.5625608563423157,0.5650835633277893,,8.5,51.76,"angle is way off for the smaller runs, one failed because run had no middle lines in range"
1,2,6,-0.9851151704788208,-2.6006814442076625,-0.16336614290346319,0.42125825464215083,0.754363477230072,1.169683575630188,0.5,0.5075042843818665,0.47765111923217773,0.5117690563201904,0.5075042843818665,left,8.5,54.78,
